sample	3alpha-hydroxy-5beta-cholanic acid	4-methoxyphenylacetic acid	methyl indole-3-acetic acid	nicotinamide	ferulic acid	2-hydroxypyridine	2-hydroxycinnamic acid	3-hydroxyanthranilic acid	acetylcholine	pyridoxine	3-hydroxyphenylacetic acid	adenine	xanthine	adenosine	hypoxanthine	biotin	2-quinolinecarboxylic acid	pterin	creatinine	choline	choline o-sulfuric acid	cytosine	allantoin	nicotinic acid	isonicotinic acid	guanine	methylguanidine	pantothenic acid	cytidine	tyramine	betaine	thiamine	guanosine	trigonelline	tryptophan	methionine	proline	quinic acid	trans-4-hydroxyproline	"3,4-dihydroxy-phenylalanine"	deoxycarnitine	sucrose	palatinose	4-guanidinobutanoic acid	cellobiose	maltose	lactose	asparagine_2	histidine_2	citrulline	glutamic acid	aspartic acid_2	fructose 6-phosphoric acid_2	alpha-glucose 1-phosphoric acid_2	guanosine 5'-monophosphoric acid_2	alpha-galactose 1-phosphoric acid	stachyose	glucose 6-phosphoric acid	N-trimethyllysine	arginine_2	lysine	ornithine	agmatine sulfuric acid	"fructose 1,6-biphosphoric acid"	2'-deoxyadenosine 5'-triphosphoric acid	glucuronolactone	mevalolactone	3-(4-hydroxyphenyl)lactic acid	fumaric acid	trans-cinnamic acid	thymine	3-(2-hydroxyphenyl)propanoic acid	ferulic acid_2	uracil	vanillic acid	4-coumaric acid	2-hydroxycinnamic acid_2	thymidine	2-hydroxyphenylacetic acid	4-hydroxybenzoic acid	homovanillic acid	glucuronolactone	azelaic acid	pyridoxine_2	4-hydroxyphenylacetic acid	salicylic acid	2-methylmaleic acid	maleic acid	adenine	3-hydroxyphenylacetic acid_2	xanthine_2	hypoxanthine_2	caffeic acid	suberic acid	biotin_2	methyl beta-galactoside	pterin_2	"2,3-dihydroxybenzoic acid"	"3,4-dihydroxybenzoic acid"	4-methylcatechol	"2,5-dihydroxybenzoic acid"	itaconic acid	allantoin	inosine	3-(4-hydroxyphenyl)lactic acid	guanine	cytidine	pantothenic acid	thiamine	leucine	norleucine	isoleucine	tryptophan	norvaline	proline	valine	glyceric acid	tyrosine	quinic acid	"3,4-dihydroxy-phenylalanine"	alanine	threonine	allothreonine	homoserine	2-oxoadipic acid	"cytidine 2',3'-cyclic mono-phosphoric acid"	glycine	glutamine	serine	asparagine	4-aminobutanoic acid	5-aminopentanoic acid	gluconic acid	trehalose	cysteic acid	histidine	N-acetylneuraminic acid	glycerol 2-phosphoric acid	N-acetyl-glutamic acid	sn-glycerol 3-phosphoric acid	fructose 6-phosphoric acid	aspartic acid	alpha-glucose 1-phosphoric acid	guanosine 5'-monophosphoric acid	fumaric acid	mannose 6-phosphoric acid	arginine	tartaric acid	lysine_2	saccharic acid	galactaric acid	ornithine_2	malic acid	2-phosphoglyceric acid	"fructose 1,6-biphosphoric acid_2"
d00-CT-SoilA	2028439	3473266	2223657.25	29360148	379570.375	14514736	401004.875	1416526.25	2559629.75	225877744	0	193894288	646895.6875	10668230	178640784	7267250	44076.26172	189159.9531	1404912.5	382310048	9367204	1108565.75	53930.55078	4258939	4258939	10964841	291057.5	15931905	133650.1875	220102.0625	17988478	2143526.75	299716.2188	1077105	168391.9063	51449.38672	2020938.25	460514.8438	123276.5	0	267890.625	1249501.75	1249501.75	1128610.75	1249501.75	1249501.75	1249501.75	118109.5	121727.5469	102735.7813	3487451.25	1770772.25	1328561.125	1328561.125	37169.1875	1328561.125	188887.6094	1328561.125	238373.875	2320057	507935.1875	90204.83594	157215.875	952702.8125	65103.44141	35638.875	12768.75879	0	0	778829.125	315854.5625	45304668	10343250	2277168.25	3346691584	4178990.75	4178990.75	2889278.5	1225897088	2250816256	79121416	172815.2813	2011604	30660156	1225897088	2250816256	18372102	1712755.75	13951754	43402.15234	6994513	13850922	4569559.5	279718.9688	972738.0625	4820571.5	138869.9063	307655328	307655328	1708208	141336416	5730401.5	1319782.875	1773575.375	137131.0781	11279722	865757.625	41782024	218110.0625	622080.9375	622080.9375	603329.9375	106809.4141	165541.8438	341090	165541.8438	339324.3125	128231.8984	8899198	13689.85645	769662.875	812813.1875	812813.1875	50854.61328	29926.51758	0	74437.66406	498481.1875	1834582.875	1099340.25	123605.2734	22627.70117	14590303	1993588.75	751397	286275.1563	30507.55664	1525601.5	892688	1525601.5	5203923	1617301	5203923	30849.31445	48205.17969	360413.4375	378046.5625	5607251	273648.4688	724742.875	724742.875	154276.7031	1345386.125	92336.85938	175722.6094
d01-CT-SoilA	1221827.25	839677.125	1008725.125	10578369	327264.5938	5223632	440969.0625	561860.25	916812	85898352	0	168304048	592219.875	11792021	86812416	2562569.5	31152.73047	183471.3438	788905	208720240	6740904.5	1181469.125	0	1874745.125	1874745.125	6160689	63561.91406	9129051	30222.59375	113736.875	36702968	1244203.125	133670.1875	714190.125	29169.52539	22895.81836	583726.625	156124.4531	60851.51563	0	82596.92188	751385.6875	751385.6875	404965.0625	751385.6875	751385.6875	751385.6875	27462.17773	36299.82031	47206.24609	1527424.5	316222.6563	1046845.75	1046845.75	17570.8125	1046845.75	149429.4375	1046845.75	195748.2813	1219792.875	133295.2188	43013.94141	54292.36719	383310.6563	45995.58594	19922.01367	24055.22656	0	0	472824.875	89274.64844	20720616	4666795	581297.5625	1650171776	1247415.875	1247415.875	956744.0625	249952576	948122304	32944378	65141.60156	726585.1875	9008882	249952576	948122304	2015471.25	127075.3281	4151877.5	25360.85938	3189979	5296001.5	1627273.5	103833.1563	139069.1094	892847.1875	56277.86328	85297368	85297368	330626.2188	80661792	1468374.375	347230.9063	966167.5625	89497.42969	6252181.5	293253.3125	15514766	157053.1406	386019.2188	386019.2188	105918.0938	40853.35156	374174.625	172051.7813	374174.625	46306.51563	89325.1875	6428745.5	13439.72559	343414	523275.0625	523275.0625	34976.91016	34527.79688	0	22025.47852	345376.2813	950151.75	549905.25	30308.57227	17388.50977	9118874	1793003.875	420821.2813	137119.8125	31826.84375	879340.5625	451033.6563	879340.5625	5470867.5	793732.875	5470867.5	0	32036.00977	205949.7813	96582.53906	2113853.5	152319.4531	566516.625	566516.625	81835.88281	1151112	48895.74609	23042.19336
d03-CT-SoilA	3285688.25	3239953.75	1702720.125	9173990	523756.1875	8245658.5	694609.875	537761.3125	1984636.875	145597024	0	105932424	690469.1875	1985811.75	102470208	6958114	40931.05469	199492.3438	1497524	342876288	8595317	2145827.75	21643.85938	13281449	13281449	6464837.5	133123.8125	15251716	0	124938.9688	20257382	3229886	13689.76465	2330224.75	21873.04492	19758.57422	718933.5625	293123.375	110541.8594	0	154944.4219	213740.8438	213740.8438	920545.4375	213740.8438	213740.8438	213740.8438	0	61703.61719	94018.44531	1125542	634916.875	975567.75	975567.75	0	975567.75	170953.5313	975567.75	255058.7813	559886.6875	87827.21094	52891.00781	95598.64844	822590.5625	78511.82031	45430.26953	19087.45508	0	0	859042.375	2088118.625	27729368	9444405	1237073.75	2367148032	3291285.5	3291285.5	71762.28125	758466944	1925965696	53730920	106138	1342266.5	22459840	758466944	1925965696	8040938	432498.875	5119911	46054.19531	5543000	9307312	4208836.5	256157.4531	820233.6875	5180410.5	78006.71875	157823584	157823584	902662.9375	110911264	1945141.125	534251.9375	156514.7813	170304.1563	5180007.5	29988.22656	23414202	591400.5625	69929.09375	69929.09375	131747.4531	29845.75977	191524.9063	378674.2188	191524.9063	150641.375	43046.93359	9931195	13757.38086	646222.8125	233431.6875	233431.6875	25465.9082	33586.47656	0	42788.19141	285879.4375	835667	211107.0781	63854.41797	17757.51563	4337202	617946.8125	688786.3125	139906.6875	35617.87891	1874910.5	1468665.375	1874910.5	5084932.5	480647.8125	5084932.5	0	26189.81641	253814.7188	59840.59375	3902142.75	82533.0625	914590.75	914590.75	152886.1719	1175866	106013.5	73573.17188
d05-CT-SoilA	1427367	3037451	1485279.875	2244518.25	576266.5	8798824	616329.875	547568.1875	1162913.75	243626272	0	104563880	298176.9063	1345367.375	39611208	8857243	60544.59766	254893.5938	1052108.25	229003792	8262428.5	2198067	19494.68555	12169864	12169864	5765521	106893.5	24132496	0	143425.1719	19254042	2608301.25	12542.33789	2180645.75	16407.60742	14782.46387	513396.1563	301528.625	78591.00781	0	135718.3594	137964.7813	137964.7813	879588.4375	137964.7813	137964.7813	137964.7813	0	43578.625	41547.87109	850370.5	440607.9063	1181116.875	1181116.875	0	1181116.875	129651.6094	1181116.875	312973.4063	613269.75	75205.96094	15979.55371	64330.01563	889163	133471.2969	43239.07813	20570.23633	0	0	513142.875	2161176.75	32678938	8458812	1286959.25	2276153344	2935324.25	2935324.25	0	730104000	1498383872	41955704	67633.95313	1076395.5	37541456	730104000	1498383872	3458595.5	256081.5156	6317258	31036.80078	2532131.75	3223315.5	3907828.5	226758.8438	723769.3125	3448239.25	96044.00781	159706400	159706400	1042157.188	150287008	342414.7813	412000	30819.26367	89553.19531	3820302.75	24784.63477	33684220	527454.625	55602.59375	55602.59375	64068.39844	19814.87891	80467.94531	294327.5313	80467.94531	102675.1094	38244.70703	10306431	8603.46875	201564.5938	141942.125	141942.125	10275.61328	17666.80469	0	36192.71484	220126.7031	329676.6563	136342.7344	53303.08984	18437.10547	608255.125	420234	653152.9375	94901.91406	37326.625	1462440.25	1719248.75	1462440.25	6396552.5	359406.4688	6396552.5	0	25472.30469	243676.2969	62873.16797	2085087.875	50900.82813	248160.3906	248160.3906	38542.5	1267598	69052.60938	95065.07813
d07-CT-SoilA	2938554.25	4838130	2211087.25	2857801.5	571249.0625	12854888	721859.3125	458505.625	491371.0938	332224768	0	109695608	324759.8438	1366597	56756164	9684520	40124.21094	325332.3125	1739080.75	101287888	9578914	1929294.625	99786.69531	4495121.5	4495121.5	6115740.5	316440.7813	16123076	36401.30859	227220.0938	14388259	2486576.25	22975.78711	3005269.5	51922.79297	37956.12891	1553404.375	367932.625	131453.8906	32725.39258	179014.5156	283622.375	283622.375	1101120.5	283622.375	283622.375	283622.375	46353.57813	34750.78906	102512.7188	894740.875	1201530.875	953800.125	953800.125	0	953800.125	77876.96875	953800.125	308068.0313	584250.0625	192415.8594	43139.78906	144444.7813	1210402	86561.96875	63570.49219	30817.81445	0	17701.18555	895227.25	4582965	39347788	14122969	5832390.5	3030526976	5108799.5	5108799.5	102245.7969	1735547136	2544836352	64132652	232343.0781	3921301	66555072	1735547136	2544836352	25029306	2343242	11489555	95893.66406	3305123.5	5771367	7043594	1023906.375	1675862.875	9605755	207376.6094	378925344	378925344	2517470.25	214762400	428007.75	2023470.5	262067.8281	140016.1094	7132511.5	40732.81641	41673888	234421.1406	93693.42969	93693.42969	64524.13281	48823.375	52562.73438	187756.1875	52562.73438	107501.4219	48405.91797	9254195	34264.73828	218040.4844	244815.9063	244815.9063	22519.11523	23637.68164	0	48845.71484	280529.1563	841154.0625	264678.4063	111999.1172	21945.06836	556139.875	238085.5938	632407.1875	100991.7578	36166.44531	1298626	942941.875	1298626	4436088	782003	4436088	0	44752.13281	261541.5625	140816.4844	2991008.5	112391.6641	100259.0469	100259.0469	59876.5625	1097023.125	57996.54297	199720.4375
d10-CT-SoilA	2165860.25	2029045.125	2781512.5	1344080.75	500987.1875	10311506	672732.9375	485411.9688	261257.6719	229415968	0	83253304	229635.9688	2074678.875	46053116	4881218	55801.76563	275881.1563	1390094.25	18168644	7176627	2224730.5	10576.0293	172933.6719	172933.6719	4790044	104489.2734	13321896	0	137845.8281	31717950	3584254	0	466469.5625	31759.70703	12325.03125	177831.2344	72614.34375	75883.82031	119105.5625	123402.1172	252437.0156	252437.0156	611993.9375	252437.0156	252437.0156	252437.0156	0	33053.62109	58041.16797	458098.9063	435726.0313	1218965	1218965	0	1218965	102381.0391	1218965	399967.9688	639135.125	50199.16797	13002.17188	109881.7734	708326.1875	67574.03125	0	29014.66211	0	0	354648.5313	2035732.625	28345922	9770221	393695.375	2393954048	1544347.875	1544347.875	35288.22656	194141408	1264273536	42111996	75394.32813	1672767.25	22058792	194141408	1264273536	791012	168946.2969	6156813	39686.91016	1834787.75	2470178.75	3739409.5	254132.8281	225863.0156	1941577.5	142841.1094	190599056	176922128	933955.0625	190599056	140182.3125	480880.25	45476.94922	255077.7031	4548763.5	0	26998556	1333814.875	46115.26563	46115.26563	57431.60156	45376.19141	114724.5	77994.14844	114724.5	22526.29883	34432.98047	2733583.75	141362.1563	137404.125	202460.6094	202460.6094	22967.70313	30773.09961	0	21580.8125	236931.0781	610294.75	187484.8125	37193.29297	17863.66797	592977.25	168230.9063	680332.3125	69004.00781	28544.80273	1681403.375	723033.6875	1681403.375	6862479.5	367953.875	6862479.5	0	31914.79883	153328.5469	57027.08984	1111593.875	55067.98047	82407.35938	82407.35938	36323.50781	961320.0625	65812.77344	104513.4688
d14-CT-SoilA	1586860.75	2781490.75	1256040	1807198	359047.4375	6419172.5	630630.125	336410	170264.0625	195021728	55821.23438	96528976	183666.0781	1394452.5	24034988	5076112	31637.50586	261123.1094	1288908.25	9443791	6452290	2394504	22766.35938	201376.1719	201376.1719	5428188.5	81123.73438	14884172	0	182886.0781	13967299	5034856.5	9206.263672	190867.3438	22536.46289	14101.4375	122730.6172	56800.43359	53542.86719	651698.4375	135626.6875	218155.3438	218155.3438	684004.375	218155.3438	218155.3438	218155.3438	14325.34082	61397.80469	62735.00391	995077.125	481121	1132870.875	1132870.875	17079.5	1132870.875	87066.10938	1132870.875	245296.1563	565358.5	95465.30469	17901.95313	66298.4375	864586.6875	73163.1875	57822.26172	18423.2168	0	0	523271.75	3948877.25	43879112	7051514.5	236743.8438	1774061184	2669148.5	2669148.5	59277.03906	612250816	1456305664	52093512	75632.25781	1113087.75	39706528	612250816	1456305664	1405613.75	234546.625	5492929	47665.19141	1940309	2292524.25	3338899.75	261847.9531	531632.9375	3203138.75	94094.05469	149638272	149638272	7588768.5	112023128	113335.5	490468.8125	54913.10156	677236.625	4381697.5	37536.82422	24135800	2428467.25	68200.71094	68200.71094	89981.47656	22360.70703	192356.9063	60821.53125	192356.9063	0	53071.99219	2223960.25	650952.375	222798.9219	217777.4219	217777.4219	20927.64648	20853.85352	0	32503.39453	317845.9688	771380.9375	181940.8906	44701.18359	23137.98828	515036.75	493590.875	350520.5625	153905.7344	40837.50781	867391.75	3287263.25	867391.75	5633687	400398	5633687	23463.2168	24158.62695	130294.2109	71200.5625	604387.75	87837.42969	50100.125	50100.125	51619.41016	186701.7031	49414.28125	58102.04297
d20-CT-SoilA	1966362.25	3382232	1960150.125	1280959	515052.5	8136322	1022214.75	301512.5	148030.7344	224607152	51688.39063	107369288	213228.3906	1079298.125	34986376	7682315.5	31549.19922	255021.1719	1315994.75	9109908	6554121	2220308.25	26571.18555	194849.0781	194849.0781	5666072.5	98658.91406	14316375	0	330412.75	11671396	8589404	0	129154.7578	26208.36523	11515.13184	88489.34375	60313.20703	35228.60156	4795082	132969.0625	277367.4375	277367.4375	643664.9375	277367.4375	277367.4375	277367.4375	19431.70703	35038.60547	47902.66016	457167.25	416982.5938	1002084.875	1002084.875	0	1002084.875	42709.01953	1002084.875	277216.7813	425234.5625	47364.19141	12427.99902	60881.72266	762823.6875	60270.70703	66852.54688	30426.05273	0	8403.084961	849419.875	4141496.25	43585600	9726126	489746.2813	2206016000	2699954.5	2699954.5	68939.72656	779998912	1730077824	62269332	55215.55469	13466646	38613476	779998912	1730077824	1368117	259005.4531	5485866	54369.97656	1905045.125	3005204.25	4106740.5	1179215.375	541874.1875	4304948.5	141178.6563	188277488	188277488	72314104	164111184	100016.8125	499651.6563	30501.51563	326339.8125	4514683	30818.77539	20013274	3732214.75	49681.25	49681.25	79786.32031	30273.56836	153289.0313	51846.26953	153289.0313	0	37004.08984	1820682.375	5287987.5	227308.875	137063.5313	137063.5313	20019.4707	23164.85156	0	22326.07031	262005.0313	454441.3438	127797.9375	44404.09375	25998.12891	370928.1875	146415.3594	343559.7813	68784.08594	33443.88281	762706.4375	897129.125	762706.4375	4653857.5	377052.5938	4653857.5	0	20736.8125	82367.64063	63801.57422	371839.4375	30644.76563	31976.76367	31976.76367	36389.71875	136743.0781	36185.49609	56909.58594
d00-CT-SoilB	3475738.25	3343376.5	2124379	27787442	539916.6875	11862323	848806.5625	1433682.875	2438226.5	136420624	0	241419776	883574.8125	11041635	162615504	9363322	40588.12891	203329.7031	1479532.625	374896128	10349786	1595682.25	25438.48438	7833079	7833079	13006097	139326.5313	21329394	176677.0313	140510.6094	29592022	7127229.5	181411.3438	1193327.5	69689.03906	34911.42969	1131798.25	327219.5938	106338.5703	15890.35059	255549.875	1331137	1331137	1211231.75	1331137	1331137	1331137	49442.34766	114536.2266	118097.2734	2900163.75	1002702.063	2087948.625	2087948.625	25455.25	2087948.625	231672.5938	2087948.625	280831.7188	2966191.75	269607.375	50911.82422	192586.2656	752949.625	98783.91406	40195.10938	39750.72656	0	15338.21484	998905.3125	256928.1563	47393788	7423064.5	1477291	2795767808	7065728	7065728	2834467.75	508898656	1866920064	95019480	176306.9219	1484569.375	17792310	508898656	1866920064	7942247.5	417469.5938	6805747.5	56097.36328	7043851.5	13452413	4751120	261303.5781	809919.9375	6356972.5	177264.5313	193704704	182382896	1574746.75	193704704	2832593.75	791659.0625	1547353.5	136691.8281	14075967	862446.375	40443888	1108874.625	289484.6563	289484.6563	390251.7813	110439.2188	939929.4375	414807.6563	939929.4375	96525.66406	152055.3125	11831528	0	632103.1875	506680.1563	506680.1563	33261.53516	47436.42969	0	28509.26758	406805.6875	1009290.813	671427.125	58952.15234	19502.0918	15085841	2093193.5	1001489.125	167405.2813	31681.80664	2211884	1050547.625	2211884	9580555	1178329.75	9580555	0	54631.14844	395287.3438	271290.4375	5794382	218745.2344	1285998.375	1285998.375	127435.1484	1269125.25	76529.22656	152870.2344
d01-CT-SoilB	881337.1875	2389265.75	1114748.25	24924890	324876.1563	10647025	453195.8438	948086.3125	2333282	185780480	0	189716384	723512.4375	14527774	118623560	5955167.5	41473.44141	218041.5313	1166049.125	365723808	8604377	1317112.625	55120.78125	4972714	4972714	11575967	311991.9063	13321100	116835.5391	215785.3125	11687145	1855766	169351.4844	2328313.5	110435.9453	60796.17969	1895733.5	411710	134795.3906	0	210182.9531	950056.5	950056.5	1069979.5	950056.5	950056.5	950056.5	110426.375	94983.11719	107518.8984	3282362.5	1618231.25	1136432.875	1136432.875	29235.07422	1136432.875	184561.2031	1136432.875	210487.6875	1473420.625	392902.4375	98260.19531	128502.6406	972509.25	68470.88281	49492.10547	28013.90625	0	0	479577.3125	486434	35139564	8689667	3385856	2727557632	5068436	5068436	3513059.5	937849856	2025531008	38783480	184600.4688	2450595.75	28701450	937849856	2025531008	21876820	1466836.5	13088391	55856.15625	7380728	16301403	4397817	448804.5625	1031800.688	4047119.25	137213.7188	262082688	262082688	1434563.625	136547072	7051049	1538354.25	1881908.125	141269.625	12993636	799955.0625	37551248	183642.7969	394208.0938	394208.0938	394349.0313	84916.45313	457072.0938	330549.4688	457072.0938	227537.7188	158621.8281	8474398	0	592533.25	589580.1875	589580.1875	40384.21094	38062.79297	0	0	437575.2188	1461834.625	820343.5	101389.8438	26595.40234	15323886	2116386.5	578843.5625	187740.3594	25049.2168	991255.75	628111.5	991255.75	4461686.5	1696835.5	4461686.5	42789.98828	48769.96484	248728.4219	217561.4063	4530406	250939.0469	842837.8125	842837.8125	155823.3438	1155739.375	78758.60156	119291.7188
